ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
3306,Jr. Tarapacá Puno,"-15.83755,-70.029158",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-15,21:10:00,3.05,10.0,18.32
3307,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-17,22:06:00,2.82,6.55,25.8
3308,Jr. Lima Puno,"-15.838756,-70.02816",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-22,16:00:00,3.16,10.0,18.98
3309,Ministerio de Cultura Puno,"-15.842631,-70.028915",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-24,06:18:00,5.95,12.0,29.77
3310,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Senati Puno,"-15.8699536,-69.9988485",2024-10-02,04:00:00,3.05,10.0,18.28
3311,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-17,18:22:00,7.26,12.91,33.76
3312,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-20,09:17:00,3.01,10.0,18.05
3313,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-24,11:53:00,0.53,3.0,10.58
3314,Colegio Don Bosco Puno,"-15.883085,-70.001176",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-17,17:10:00,8.88,16.64,32.04
3315,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-11,14:52:00,2.49,6.0,24.88
3316,Jr. Tarapacá Puno,"-15.83755,-70.029158",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-27,19:28:00,0.46,3.0,9.14
3317,Jayllihuaya Puno,"-15.8787471,-69.9751057",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-21,06:33:00,10.36,20.99,29.62
3318,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-03,20:34:00,7.28,14.88,29.36
3319,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-21,10:09:00,1.04,6.0,10.4
3320,Urbanización Bellavista Puno,"-15.832755,-70.022242",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-03,08:56:00,1.8,6.0,18.0
3321,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-17,01:15:00,2.59,6.05,25.73
3322,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-09,09:05:00,2.1,6.0,20.97
3323,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-26,23:33:00,2.46,6.49,22.74
3324,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-08,19:39:00,1.2,6.0,11.99
3325,Jr. Los Incas Puno,"-15.836837,-70.024882",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-21,16:22:00,2.92,6.17,28.43
3326,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-15,19:01:00,8.08,16.0,30.32
3327,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-17,01:14:00,3.15,10.0,18.91
3328,Plaza Vea Puno,"-15.83636,-70.025604",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-11-07,17:12:00,7.91,16.86,28.15
3329,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Alto Puno,"-15.814292,-70.031918",2024-11-08,17:36:00,2.92,7.49,23.43
3330,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-23,14:39:00,0.62,3.0,12.36
3331,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-07,21:20:00,6.09,12.0,30.43
3332,Avenida La Torre Puno,"-15.8336052,-70.0276202",Senati Puno,"-15.8699536,-69.9988485",2024-06-16,17:06:00,7.95,15.52,30.73
3333,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-08-18,07:13:00,1.39,6.0,13.91
3334,Urbanización Alto Puno,"-15.814292,-70.031918",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-09-21,00:26:00,7.72,16.01,28.91
3335,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-16,12:25:00,2.2,6.0,22.04
3336,Senati Puno,"-15.8699536,-69.9988485",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-30,09:12:00,5.22,12.0,26.09
3337,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-01,14:49:00,2.03,6.0,20.28
3338,Parque San Román Puno,"-15.841093,-70.029431",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-30,15:23:00,3.83,10.0,22.96
3339,Terminal Terrestre Puno,"-15.843678,-70.017225",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-09,13:33:00,2.16,6.07,21.37
3340,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-11,22:35:00,3.72,10.0,22.3
3341,Parque del Niño Puno,"-15.858797,-70.012071",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-20,15:47:00,4.33,10.0,25.96
3342,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-15,15:38:00,7.02,12.76,33.03
3343,Plaza Vea Puno,"-15.83636,-70.025604",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-10-07,11:19:00,1.72,6.0,17.21
3344,Plaza Vea Puno,"-15.83636,-70.025604",Parque San Román Puno,"-15.841093,-70.029431",2024-09-15,20:14:00,0.99,3.0,19.8
3345,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-25,11:45:00,2.23,6.0,22.33
3346,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-20,16:53:00,0.55,3.0,11.08
3347,Parque San Román Puno,"-15.841093,-70.029431",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-14,09:27:00,1.01,6.0,10.1
3348,Av. Costanera Puno,"-15.8399095,-70.0176539",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-02,17:26:00,5.47,12.0,27.34
3349,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-31,08:37:00,2.46,6.68,22.08
3350,Parque del Niño Puno,"-15.858797,-70.012071",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-24,03:38:00,4.06,10.0,24.33
3351,Jr. Lima Puno,"-15.838756,-70.02816",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-16,12:03:00,3.25,10.0,19.48
3352,Parque Pino Puno,"-15.8378073,-70.0280672",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-21,23:10:00,0.45,3.0,9.08
3353,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-16,10:12:00,4.17,10.0,25.03
3354,Salcedo Puno,"-15.8687992,-69.9986595",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-23,00:31:00,6.34,12.27,31.01
3355,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-23,09:49:00,10.04,19.58,30.76
3356,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-04,10:49:00,1.31,6.0,13.11
3357,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-20,10:46:00,4.45,10.3,25.92
3358,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-31,12:41:00,5.51,12.0,27.54
3359,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-26,23:22:00,1.58,6.0,15.8
3360,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-16,21:20:00,3.88,10.0,23.28
3361,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-30,23:51:00,3.68,10.0,22.09
3362,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Alto Puno,"-15.814292,-70.031918",2024-06-15,19:27:00,4.64,10.0,27.86
3363,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-07,01:48:00,3.44,10.0,20.62
3364,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-23,03:31:00,6.37,12.39,30.87
3365,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-11-25,18:33:00,0.65,3.0,13.0
3366,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-07,07:07:00,6.25,12.24,30.66
3367,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-14,19:31:00,9.2,19.1,28.9
3368,Parque del Niño Puno,"-15.858797,-70.012071",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-27,17:08:00,2.57,6.03,25.55
3369,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-09,22:31:00,3.93,10.0,23.57
3370,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-24,02:14:00,7.91,16.1,29.46
3371,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-01,09:17:00,6.48,13.17,29.54
3372,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-27,20:41:00,0.51,3.0,10.2
3373,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-17,09:30:00,1.93,6.0,19.34
3374,Avenida La Torre Puno,"-15.8336052,-70.0276202",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-06,19:11:00,1.84,6.0,18.45
3375,Plaza Vea Puno,"-15.83636,-70.025604",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-02,19:29:00,2.3,6.35,21.69
3376,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-21,11:32:00,9.32,17.82,31.37
3377,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-25,19:11:00,0.67,3.0,13.48
3378,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-15,12:50:00,2.2,6.0,21.99
3379,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-30,15:21:00,3.28,10.0,19.68
3380,Parque San Román Puno,"-15.841093,-70.029431",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-14,00:46:00,3.31,10.0,19.87
3381,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-27,22:19:00,1.52,6.0,15.22
3382,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-24,17:05:00,4.41,10.0,26.45
3383,Senati Puno,"-15.8699536,-69.9988485",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-22,04:53:00,5.88,12.0,29.41
3384,Urbanización Alto Puno,"-15.814292,-70.031918",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-10,11:49:00,4.31,10.0,25.87
3385,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-04,17:34:00,4.3,10.0,25.8
3386,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-11,13:36:00,7.97,17.25,27.73
3387,Parque San Román Puno,"-15.841093,-70.029431",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-08,06:36:00,3.76,10.0,22.55
3388,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-17,03:13:00,6.15,12.4,29.77
3389,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Senati Puno,"-15.8699536,-69.9988485",2024-10-26,16:58:00,7.02,14.07,29.94
3390,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-28,16:44:00,6.83,13.55,30.24
3391,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-18,07:07:00,2.76,6.0,27.61
3392,Urbanización Alto Puno,"-15.814292,-70.031918",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-23,11:51:00,4.82,10.0,28.92
3393,Salcedo Puno,"-15.8687992,-69.9986595",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-30,01:52:00,6.18,13.13,28.25
3394,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-09-19,01:14:00,5.33,12.0,26.66
3395,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-31,10:05:00,4.03,10.0,24.16
3396,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-29,10:55:00,0.65,3.0,12.92
3397,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-21,17:44:00,3.45,10.0,20.68
3398,Urbanización Bellavista Puno,"-15.832755,-70.022242",Parque San Román Puno,"-15.841093,-70.029431",2024-07-23,18:59:00,1.74,6.0,17.42
3399,Jr. Lima Puno,"-15.838756,-70.02816",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-27,02:08:00,1.66,6.0,16.55
3400,Terminal Terrestre Puno,"-15.843678,-70.017225",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-17,10:05:00,4.91,11.06,26.66
3401,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-04,08:05:00,5.64,12.0,28.22
3402,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-15,05:24:00,0.75,3.0,15.04
3403,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-18,03:22:00,1.16,6.0,11.55
3404,Urbanización Alto Puno,"-15.814292,-70.031918",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-17,16:33:00,5.76,12.05,28.7
3405,Urbanización Bellavista Puno,"-15.832755,-70.022242",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-13,19:57:00,1.34,6.0,13.45
3406,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-30,17:47:00,2.68,7.13,22.59
3407,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-08,21:11:00,11.0,19.4,34.03
3408,Avenida El Sol Puno,"-15.8458219,-70.0202123",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-26,12:34:00,1.45,6.0,14.46
3409,Parque del Periodista Puno,"-15.839012,-70.023311",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-31,13:11:00,0.51,3.0,10.16
3410,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-24,01:58:00,0.87,3.0,17.46
3411,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-25,02:03:00,2.01,6.0,20.11
3412,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-02,12:25:00,2.03,6.0,20.26
3413,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-08,18:25:00,8.04,16.57,29.12
3414,Jayllihuaya Puno,"-15.8787471,-69.9751057",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-09,20:46:00,10.32,20.8,29.75
3415,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-13,16:00:00,5.37,12.0,26.87
3416,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-06,17:51:00,4.36,10.0,26.14
3417,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-22,17:51:00,0.63,3.0,12.54
3418,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-24,07:19:00,1.55,6.0,15.48
3419,Jayllihuaya Puno,"-15.8787471,-69.9751057",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-24,01:26:00,6.8,12.21,33.42
3420,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-08,19:03:00,2.3,6.0,23.01
3421,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-17,02:48:00,1.25,6.0,12.45
3422,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-28,16:31:00,3.51,10.0,21.07
3423,Puerto Lacustre Puno,"-15.835401,-70.014945",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-04,11:38:00,1.1,6.0,10.95
3424,Senati Puno,"-15.8699536,-69.9988485",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-26,14:02:00,6.6,13.05,30.36
3425,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-28,23:23:00,1.14,6.0,11.38
3426,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Parque San Román Puno,"-15.841093,-70.029431",2024-08-19,00:38:00,0.95,3.0,19.0
3427,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-14,23:47:00,3.31,10.0,19.85
3428,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-16,11:52:00,2.08,6.0,20.76
3429,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-18,21:56:00,2.13,6.0,21.26
3430,Av. Costanera Puno,"-15.8399095,-70.0176539",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-15,18:47:00,2.45,6.0,24.53
3431,Terminal Terrestre Puno,"-15.843678,-70.017225",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-07,07:11:00,3.04,10.0,18.23
3432,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-17,16:06:00,0.84,3.0,16.88
3433,Jr. Lima Puno,"-15.838756,-70.02816",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-28,14:13:00,0.7,3.0,14.02
3434,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Senati Puno,"-15.8699536,-69.9988485",2024-06-16,01:10:00,6.06,12.0,30.31
3436,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-08-28,22:43:00,6.31,12.57,30.1
3437,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Parque del Niño Puno,"-15.858797,-70.012071",2024-09-25,17:10:00,2.37,6.0,23.65
3438,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-04,20:18:00,4.79,10.3,27.9
3439,Parque San Román Puno,"-15.841093,-70.029431",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-12,15:47:00,3.62,10.0,21.7
3440,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-29,02:49:00,2.35,6.0,23.49
3441,Urbanización Bellavista Puno,"-15.832755,-70.022242",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-14,18:08:00,3.82,10.0,22.92
3442,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-22,18:26:00,7.71,14.43,32.07
3443,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Parque San Román Puno,"-15.841093,-70.029431",2024-08-30,14:09:00,1.0,3.0,19.96
3444,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-16,23:57:00,1.39,6.0,13.92
3445,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-09,17:23:00,4.14,10.0,24.82
3446,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-21,00:08:00,0.47,3.0,9.4
3447,Puerto Lacustre Puno,"-15.835401,-70.014945",Parque San Román Puno,"-15.841093,-70.029431",2024-11-14,21:18:00,2.62,6.8,23.12
3448,Parque San Román Puno,"-15.841093,-70.029431",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-04,10:41:00,0.31,3.0,6.28
3449,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-07,13:48:00,0.49,3.0,9.86
3450,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-09-05,15:32:00,3.5,10.0,20.99
3451,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-31,17:11:00,1.17,6.0,11.72
3452,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-15,06:41:00,3.78,10.0,22.65
3453,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-25,10:05:00,2.55,6.9,22.17
3454,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-17,08:07:00,3.39,10.0,20.35
3455,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-05,21:04:00,3.18,10.0,19.07
3456,Senati Puno,"-15.8699536,-69.9988485",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-27,16:06:00,2.86,6.46,26.53
3457,Plaza Vea Puno,"-15.83636,-70.025604",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-25,21:26:00,2.64,6.0,26.35
3458,Jr. Tarapacá Puno,"-15.83755,-70.029158",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-22,01:41:00,0.18,3.0,3.64
3459,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-06-01,09:46:00,2.44,6.63,22.13
3460,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-06-18,07:00:00,1.9,6.0,19.0
3461,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-07,18:05:00,4.78,10.87,26.37
3462,Ministerio de Cultura Puno,"-15.842631,-70.028915",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-08,01:54:00,0.45,3.0,9.02
3463,Parque del Niño Puno,"-15.858797,-70.012071",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-22,04:58:00,4.01,10.0,24.07
3464,Plaza Vea Puno,"-15.83636,-70.025604",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-04,17:30:00,5.62,12.0,28.12
3465,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-04,14:49:00,8.7,16.26,32.11
3466,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-02,08:13:00,9.09,16.0,34.08
3467,Plaza Vea Puno,"-15.83636,-70.025604",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-30,08:50:00,0.29,3.0,5.88
3468,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-08,06:29:00,4.0,10.0,24.02
3470,Puerto Lacustre Puno,"-15.835401,-70.014945",Parque San Román Puno,"-15.841093,-70.029431",2024-06-22,14:14:00,2.46,6.51,22.64
3471,Avenida Floral Puno,"-15.8268687,-70.0141471",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-27,18:06:00,1.98,6.0,19.84
