ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
3986,Colegio Don Bosco Puno,"-15.8282,-70.0481",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-10-13,08:50:00,3.53,12.37
3987,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-11-25,11:19:00,0.8,2.71
3988,Los Incas Puno,"-15.84,-70.028",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-14,23:42:00,6.11,19.15
3989,Urbanización Alto Puno,"-15.8282,-70.0481",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-04,07:37:00,3.26,11.3
3990,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-21,07:04:00,1.88,5.87
3991,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-19,19:55:00,0.91,3.46
3992,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-22,13:53:00,3.83,11.3
3993,Terminal Terrestre Puno,"-15.848,-70.0146",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-07-15,05:12:00,2.29,7.64
3994,Urbanización Alto Puno,"-15.8282,-70.0481",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-20,01:40:00,3.13,9.58
3995,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Real Plaza Puno,"-15.8426,-70.0141",2024-08-06,14:04:00,1.74,6.42
3996,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-27,08:55:00,0.8,2.54
3997,Urbanización Huajsapata Puno,"-15.856,-70.0235",Real Plaza Puno,"-15.8426,-70.0141",2024-11-14,19:52:00,2.52,8.43
3998,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-07-24,05:36:00,2.99,11.2
3999,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-08,23:58:00,4.45,12.34
4000,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-01,03:26:00,3.77,10.52
4001,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-07-31,10:42:00,3.12,8.9
4002,Colegio Adventista Puno,"-15.8366071,-70.0291852",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-03,05:56:00,0.8,3.47
4003,Parque Pino Puno,"-15.8378073,-70.0280672",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-18,22:12:00,2.02,7.0
4004,Terminal Terrestre Puno,"-15.848,-70.0146",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-10,14:47:00,1.81,5.39
4005,Colegio Don Bosco Puno,"-15.8282,-70.0481",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-17,02:25:00,6.51,19.92
4006,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-29,06:03:00,0.8,3.85
4007,Avenida El Sol Puno,"-15.8458219,-70.0202123",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-27,02:30:00,0.88,2.82
4008,Real Plaza Puno,"-15.8426,-70.0141",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-07,12:23:00,6.95,22.97
4009,Avenida El Sol Puno,"-15.8458219,-70.0202123",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-11-02,10:54:00,1.44,4.92
4010,Parque del Niño Puno,"-15.841,-70.024",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-26,21:25:00,1.67,6.47
4011,Los Incas Puno,"-15.84,-70.028",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-31,09:24:00,0.8,2.98
4012,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-07,03:26:00,0.8,2.59
4013,Puerto Lacustre Puno,"-15.8491,-70.0185",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-17,21:35:00,0.88,3.15
4014,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-21,19:04:00,0.8,2.93
4015,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-03,10:42:00,2.18,7.26
4016,Catedral Basílica de Puno,"-15.8409556,-70.029004",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-08-01,08:49:00,1.9,6.89
4017,Terminal Terrestre Puno,"-15.848,-70.0146",Senati Puno,"-15.8699536,-69.9988485",2024-10-15,18:44:00,3.93,13.02
4018,Catedral Basílica de Puno,"-15.8409556,-70.029004",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-16,00:20:00,0.8,3.44
4019,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-08-14,03:42:00,0.8,3.46
4020,Avenida La Torre Puno,"-15.8336052,-70.0276202",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-22,17:08:00,1.55,5.08
4021,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-06-14,14:18:00,1.94,7.73
4022,Puerto Lacustre Puno,"-15.8491,-70.0185",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-26,13:01:00,1.92,7.04
4023,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Real Plaza Puno,"-15.8426,-70.0141",2024-11-29,18:36:00,1.53,4.98
4024,Terminal Terrestre Puno,"-15.848,-70.0146",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-15,07:09:00,1.6,5.2
4025,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-07,12:26:00,3.7,9.18
4026,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-13,16:46:00,2.57,9.33
4027,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-14,08:48:00,0.85,3.09
4028,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-06-15,01:50:00,2.39,7.73
4029,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-19,06:02:00,0.8,2.72
4030,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-10-27,09:27:00,5.58,18.79
4031,Senati Puno,"-15.8699536,-69.9988485",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-06-09,18:44:00,5.57,15.76
4032,Jayllihuaya Puno,"-15.8787471,-69.9751057",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-08-05,11:43:00,6.95,25.89
4033,Real Plaza Puno,"-15.8426,-70.0141",Los Incas Puno,"-15.84,-70.028",2024-07-05,20:18:00,2.04,7.81
4034,Parque del Niño Puno,"-15.841,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-13,19:30:00,1.29,4.89
4035,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-11-22,15:57:00,4.9,13.39
4036,Senati Puno,"-15.8699536,-69.9988485",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-16,05:16:00,4.61,14.49
4037,Salcedo Puno,"-15.8687992,-69.9986595",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-25,18:23:00,3.86,10.34
4038,Puerto Lacustre Puno,"-15.8491,-70.0185",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-10-06,14:48:00,1.62,5.05
4039,Jirón Lima Puno,"-15.8387563,-70.0281599",Urbanización Bellavista Puno,"-15.84,-70.028",2024-11-07,04:01:00,0.8,3.16
4040,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-17,10:26:00,8.85,21.62
4041,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-26,21:43:00,6.13,18.55
4042,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-12,06:34:00,1.14,4.41
4043,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-08-18,18:02:00,3.73,11.81
4044,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-25,23:13:00,6.83,23.59
4045,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-11,04:25:00,6.31,20.77
4046,Urbanización Alto Puno,"-15.8282,-70.0481",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-13,16:49:00,4.61,15.04
4047,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-26,17:36:00,1.46,5.71
4048,Urbanización Huajsapata Puno,"-15.856,-70.0235",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-19,06:54:00,5.0,15.12
4049,Salcedo Puno,"-15.8687992,-69.9986595",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-22,20:41:00,5.16,17.4
4050,Urbanización Huajsapata Puno,"-15.856,-70.0235",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-25,12:20:00,2.55,8.9
4051,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-10-06,21:23:00,1.01,3.44
4052,Colegio Don Bosco Puno,"-15.8282,-70.0481",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-18,18:38:00,4.35,12.27
4053,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Alto Puno,"-15.8282,-70.0481",2024-09-24,09:13:00,5.2,18.22
4054,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-31,18:12:00,0.8,3.17
4055,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-01,10:04:00,2.18,7.45
4056,Hospital ESSALUD Puno,"-15.84,-70.0213",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-03,11:18:00,0.8,3.08
4057,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-08-11,14:42:00,4.67,13.98
4058,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-31,08:55:00,0.8,2.94
4059,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-23,04:57:00,1.51,5.53
4060,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Los Incas Puno,"-15.84,-70.028",2024-06-25,21:53:00,1.21,4.5
4061,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-25,02:09:00,3.62,9.99
4062,Senati Puno,"-15.8699536,-69.9988485",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-27,15:35:00,0.8,3.35
4063,Isla Esteves Puno,"-15.8275387,-69.9925844",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-09-09,21:40:00,5.39,14.58
4064,Municipalidad Provincial de Puno,"-15.84,-70.025",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-27,21:41:00,0.8,3.42
4065,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-30,20:27:00,3.5,10.28
4066,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-08-17,18:42:00,3.75,12.18
4067,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-17,09:12:00,0.8,3.14
4068,Senati Puno,"-15.8699536,-69.9988485",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-10,08:06:00,6.29,21.8
4069,Avenida La Torre Puno,"-15.8336052,-70.0276202",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-09-22,08:00:00,1.08,3.98
4070,Jirón Lima Puno,"-15.8387563,-70.0281599",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-11-12,19:11:00,0.99,3.46
4071,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-06,06:51:00,4.08,10.54
4072,Los Incas Puno,"-15.84,-70.028",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-15,00:53:00,0.87,3.14
4073,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Parque del Niño Puno,"-15.841,-70.024",2024-09-27,06:04:00,0.8,3.02
4074,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Senati Puno,"-15.8699536,-69.9988485",2024-08-02,23:29:00,4.31,12.87
4075,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-06-06,12:03:00,0.8,2.85
4076,Avenida La Torre Puno,"-15.8336052,-70.0276202",Los Incas Puno,"-15.84,-70.028",2024-08-31,16:46:00,0.91,3.18
4077,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-25,20:01:00,0.8,2.92
4078,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-10-23,16:12:00,0.89,3.16
4079,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-07-28,20:39:00,3.58,12.05
4080,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-11-10,23:30:00,1.81,6.75
4081,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-27,18:19:00,1.81,5.68
4082,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-28,06:44:00,3.67,10.61
4083,Catedral Basílica de Puno,"-15.8409556,-70.029004",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-09-24,18:37:00,1.02,3.11
4084,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-11-05,07:57:00,3.4,10.63
4085,Urbanización Alto Puno,"-15.8282,-70.0481",Los Incas Puno,"-15.84,-70.028",2024-06-17,13:30:00,3.44,11.54
4086,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Alto Puno,"-15.8282,-70.0481",2024-11-07,21:26:00,5.64,16.74
4087,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Real Plaza Puno,"-15.8426,-70.0141",2024-07-30,13:29:00,1.52,6.48
4088,Salcedo Puno,"-15.8687992,-69.9986595",Los Incas Puno,"-15.84,-70.028",2024-10-02,18:15:00,5.92,19.12
4089,Jirón Lima Puno,"-15.8387563,-70.0281599",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-09-15,10:22:00,0.8,2.96
4090,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Senati Puno,"-15.8699536,-69.9988485",2024-11-25,03:07:00,5.68,15.15
4091,Parque del Niño Puno,"-15.841,-70.024",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-26,14:02:00,1.46,6.21
4092,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-07,17:03:00,0.8,3.12
4093,Real Plaza Puno,"-15.8426,-70.0141",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-25,23:44:00,1.99,6.53
4094,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-13,21:34:00,2.33,8.25
4095,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Alto Puno,"-15.8282,-70.0481",2024-08-12,12:04:00,3.72,10.36
4096,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-18,23:24:00,2.06,7.52
4097,Avenida El Sol Puno,"-15.8458219,-70.0202123",Los Incas Puno,"-15.84,-70.028",2024-11-12,07:53:00,1.46,4.64
4098,Catedral Basílica de Puno,"-15.8409556,-70.029004",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-12,15:47:00,2.39,8.43
4099,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-07,08:24:00,1.5,4.69
4100,Parque del Niño Puno,"-15.841,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-17,19:06:00,1.27,5.2
4101,Isla Esteves Puno,"-15.8275387,-69.9925844",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-09,03:54:00,5.67,17.2
4102,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-23,08:53:00,4.73,12.93
4103,Avenida La Torre Puno,"-15.8336052,-70.0276202",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-10-22,14:23:00,2.15,8.01
4104,Jirón Lima Puno,"-15.8387563,-70.0281599",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-05,14:45:00,1.26,3.64
4105,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Bellavista Puno,"-15.84,-70.028",2024-10-21,06:44:00,1.92,8.15
4106,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-06-04,03:43:00,1.91,8.22
4107,Isla Esteves Puno,"-15.8275387,-69.9925844",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-10-04,15:58:00,5.13,13.29
4108,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-08-16,16:33:00,0.83,3.16
4109,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-04,11:11:00,0.86,2.69
4110,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-10-26,07:21:00,1.97,8.16
4111,Colegio Adventista Puno,"-15.8366071,-70.0291852",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-13,16:03:00,6.77,22.16
4112,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-09-23,05:32:00,1.16,4.62
4113,Av. Costanera Puno,"-15.8399095,-70.0176539",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-22,13:19:00,1.55,5.67
4114,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-03,04:12:00,1.82,5.85
4115,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-24,04:29:00,3.52,9.09
4116,Real Plaza Puno,"-15.8426,-70.0141",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-06-12,09:35:00,2.09,6.9
4117,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-07-21,08:37:00,6.31,15.55
4118,Jayllihuaya Puno,"-15.8787471,-69.9751057",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-07-04,08:21:00,7.92,25.26
4119,Jirón Lima Puno,"-15.8387563,-70.0281599",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-06-10,17:42:00,1.56,5.24
4120,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-08,21:06:00,0.96,3.03
4121,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-27,21:58:00,2.71,8.42
4122,Avenida El Sol Puno,"-15.8458219,-70.0202123",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-06,15:57:00,0.8,3.18
4123,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-06-01,12:31:00,1.83,6.97
4124,Avenida Floral Puno,"-15.8268687,-70.0141471",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-10-12,08:39:00,2.51,8.72
4125,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-06-30,22:50:00,0.8,2.8
4126,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-07,20:57:00,0.8,2.83
4127,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-10-27,07:17:00,1.13,3.9
4128,Jayllihuaya Puno,"-15.8787471,-69.9751057",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-27,06:06:00,9.01,23.92
4129,Avenida Floral Puno,"-15.8268687,-70.0141471",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-09-27,02:50:00,1.74,6.33
4130,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-10-29,00:19:00,5.65,19.2
4131,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-31,16:00:00,2.17,8.15
4132,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-13,11:51:00,2.29,9.14
4133,Puerto Lacustre Puno,"-15.8491,-70.0185",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-09-01,08:11:00,1.75,6.88
4134,Isla Esteves Puno,"-15.8275387,-69.9925844",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-26,06:04:00,4.98,13.09
4135,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-24,02:53:00,1.03,3.27
4136,Puerto Lacustre Puno,"-15.8491,-70.0185",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-09-27,15:26:00,0.88,3.41
4137,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-06-27,01:34:00,0.83,2.71
4138,Av. Costanera Puno,"-15.8399095,-70.0176539",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-17,20:24:00,0.93,3.34
4139,Jirón Lima Puno,"-15.8387563,-70.0281599",Real Plaza Puno,"-15.8426,-70.0141",2024-07-07,12:26:00,2.0,7.03
4140,Real Plaza Puno,"-15.8426,-70.0141",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-19,07:29:00,1.35,5.0
4141,Catedral Basílica de Puno,"-15.8409556,-70.029004",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-09,04:11:00,0.95,2.88
4142,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-30,17:43:00,4.71,16.45
4143,Municipalidad Provincial de Puno,"-15.84,-70.025",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-16,13:56:00,3.02,9.66
4144,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Real Plaza Puno,"-15.8426,-70.0141",2024-06-07,20:04:00,1.9,7.13
4145,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-19,07:58:00,1.73,6.23
4146,Avenida El Sol Puno,"-15.8458219,-70.0202123",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-10,16:59:00,5.49,15.71
4147,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Senati Puno,"-15.8699536,-69.9988485",2024-08-16,11:54:00,6.57,21.67
4148,Jirón Lima Puno,"-15.8387563,-70.0281599",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-07-20,10:07:00,0.8,3.79
4149,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-06-19,13:21:00,1.61,6.69
4150,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-07,02:43:00,3.59,12.81
4151,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-07,15:42:00,0.8,2.8
4152,Urbanización Bellavista Puno,"-15.84,-70.028",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-06-18,20:19:00,0.8,2.53
4153,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-17,09:55:00,0.96,3.84
4154,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-10-10,09:13:00,2.67,10.31
4155,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-19,17:50:00,2.89,8.8
4156,Puerto Lacustre Puno,"-15.8491,-70.0185",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-09-01,07:03:00,4.84,12.59
4157,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-18,15:02:00,1.55,5.57
4158,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-04,02:17:00,0.99,4.0
