ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
5513,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-28,09:05:00
5514,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-15,01:45:00
5515,Avenida La Torre Puno,"-15.8336052,-70.0276202",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-07-13,13:29:00
5516,Av. Costanera Puno,"-15.8399095,-70.0176539",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-24,02:15:00
5517,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-10,20:32:00
5518,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-10,03:32:00
5519,Avenida Floral Puno,"-15.8268687,-70.0141471",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-23,03:51:00
5520,Parque San Román Puno,"-15.841093,-70.029431",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-19,15:29:00
5521,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-21,05:30:00
5522,Jr. Lima Puno,"-15.838756,-70.02816",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-17,11:24:00
5523,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-06,18:21:00
5524,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-08,06:11:00
5525,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-11-03,08:59:00
5526,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-17,08:03:00
5527,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-29,23:46:00
5528,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-11,07:40:00
5529,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-17,00:53:00
5530,Urbanización Alto Puno,"-15.814292,-70.031918",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-24,06:31:00
5531,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-26,05:09:00
5532,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-23,02:11:00
5533,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-07,19:46:00
5534,Colegio Adventista Puno,"-15.8366071,-70.0291852",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-07-05,22:10:00
5535,Ministerio de Cultura Puno,"-15.842631,-70.028915",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-30,20:47:00
5536,Av. Costanera Puno,"-15.8399095,-70.0176539",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-28,17:40:00
5537,Parque del Periodista Puno,"-15.839012,-70.023311",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-05,22:15:00
5538,Parque del Periodista Puno,"-15.839012,-70.023311",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-15,02:18:00
5539,Ministerio de Cultura Puno,"-15.842631,-70.028915",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-28,20:18:00
5540,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Senati Puno,"-15.8699536,-69.9988485",2024-10-26,20:41:00
5541,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-16,19:24:00
5542,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-19,21:54:00
5543,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-11,19:46:00
5544,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-13,12:41:00
5545,Parque del Niño Puno,"-15.858797,-70.012071",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-01,06:04:00
5546,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-09,11:31:00
5547,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-31,17:53:00
5548,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-10,23:50:00
5549,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-09,11:27:00
5550,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-24,02:11:00
5551,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-13,08:30:00
5552,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-10,17:58:00
5553,Colegio Don Bosco Puno,"-15.883085,-70.001176",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-16,19:22:00
5554,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-11-02,21:26:00
5555,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-03,14:41:00
5556,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-16,05:04:00
5557,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-01,11:34:00
5558,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-23,07:26:00
5559,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-14,04:58:00
5560,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-12,05:33:00
5561,Jr. Lima Puno,"-15.838756,-70.02816",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-15,03:20:00
5562,Avenida El Sol Puno,"-15.8458219,-70.0202123",Parque del Niño Puno,"-15.858797,-70.012071",2024-09-24,21:26:00
5563,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-05,05:26:00
5564,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-11,19:51:00
5565,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Alto Puno,"-15.814292,-70.031918",2024-06-23,01:01:00
5566,Jayllihuaya Puno,"-15.8787471,-69.9751057",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-13,13:50:00
5567,Colegio Adventista Puno,"-15.8366071,-70.0291852",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-08-07,09:21:00
5568,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-14,01:37:00
5569,Jr. Tarapacá Puno,"-15.83755,-70.029158",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-23,22:18:00
5570,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-06,20:54:00
5571,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-07,01:43:00
5572,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque San Román Puno,"-15.841093,-70.029431",2024-10-18,16:02:00
5573,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-27,17:59:00
5574,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-17,07:28:00
5575,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-17,13:22:00
5576,Terminal Terrestre Puno,"-15.843678,-70.017225",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-22,13:35:00
5577,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-07,02:04:00
5578,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-07,10:31:00
5579,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-25,01:27:00
5580,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-25,09:16:00
5581,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-21,04:03:00
5582,Jr. Tarapacá Puno,"-15.83755,-70.029158",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-18,10:00:00
5583,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-27,00:24:00
5584,Plaza Vea Puno,"-15.83636,-70.025604",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-17,23:37:00
5585,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-08-14,02:09:00
5586,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-11-17,04:42:00
5587,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-14,09:50:00
5588,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-22,11:10:00
5589,Parque Pino Puno,"-15.8378073,-70.0280672",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-22,20:45:00
5590,Ministerio de Cultura Puno,"-15.842631,-70.028915",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-25,18:48:00
5591,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-20,21:26:00
5592,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-24,18:28:00
5593,Urbanización Bellavista Puno,"-15.832755,-70.022242",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-17,11:31:00
5594,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-08,03:44:00
5595,Parque San Román Puno,"-15.841093,-70.029431",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-10,09:21:00
5596,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-10,00:10:00
5597,Ministerio de Cultura Puno,"-15.842631,-70.028915",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-11,17:49:00
5598,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-05,11:43:00
5599,Salcedo Puno,"-15.8687992,-69.9986595",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-07,01:24:00
5600,Jr. Lima Puno,"-15.838756,-70.02816",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-09,08:09:00
5601,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-14,18:18:00
5602,Parque San Román Puno,"-15.841093,-70.029431",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-08-10,06:34:00
5603,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-18,03:53:00
5604,Senati Puno,"-15.8699536,-69.9988485",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-14,06:20:00
5605,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-03,23:01:00
5606,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-11-13,16:58:00
5607,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-05,19:27:00
5608,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-29,16:28:00
5609,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-12,22:04:00
5610,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-29,07:15:00
5611,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-29,18:39:00
5612,Puerto Lacustre Puno,"-15.835401,-70.014945",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-01,21:37:00
5613,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-12,18:48:00
5614,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-09,00:21:00
5615,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-09,10:15:00
5616,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-14,12:45:00
5617,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-07,00:46:00
5618,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-01,17:04:00
5619,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-14,23:32:00
5620,Avenida La Torre Puno,"-15.8336052,-70.0276202",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-07,01:27:00
5621,Senati Puno,"-15.8699536,-69.9988485",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-16,20:43:00
5622,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-07,21:22:00
5623,Jr. Los Incas Puno,"-15.836837,-70.024882",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-11-25,02:25:00
5624,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-11,08:54:00
5625,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-23,17:05:00
5626,Jr. Los Incas Puno,"-15.836837,-70.024882",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-14,21:49:00
5627,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-22,13:08:00
5628,Colegio Don Bosco Puno,"-15.883085,-70.001176",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-10,05:41:00
5629,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-05,11:30:00
5630,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-12,04:26:00
5631,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-17,20:58:00
5632,Jayllihuaya Puno,"-15.8787471,-69.9751057",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-08-04,19:53:00
5633,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-11-12,22:50:00
5634,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-26,05:05:00
5635,Parque San Román Puno,"-15.841093,-70.029431",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-26,03:06:00
5636,Urbanización Bellavista Puno,"-15.832755,-70.022242",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-09,13:18:00
5637,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-04,23:26:00
5638,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-04,04:46:00
5639,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-16,11:32:00
5640,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-03,21:48:00
5641,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-07,19:48:00
5642,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-13,16:54:00
5643,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-09,11:30:00
5644,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-14,20:32:00
5645,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-10,13:49:00
5646,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-08,20:56:00
5647,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-28,17:42:00
5648,Colegio Adventista Puno,"-15.8366071,-70.0291852",Senati Puno,"-15.8699536,-69.9988485",2024-07-23,06:01:00
5649,Parque del Niño Puno,"-15.858797,-70.012071",Urbanización Alto Puno,"-15.814292,-70.031918",2024-06-03,05:36:00
5650,Avenida Floral Puno,"-15.8268687,-70.0141471",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-25,23:19:00
5651,Avenida Floral Puno,"-15.8268687,-70.0141471",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-21,11:49:00
5652,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-13,21:15:00
5653,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-24,22:07:00
5654,Jr. Lima Puno,"-15.838756,-70.02816",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-17,07:44:00
5655,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-07,19:26:00
5656,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-10,00:11:00
5657,Av. Costanera Puno,"-15.8399095,-70.0176539",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-12,02:20:00
5658,Salcedo Puno,"-15.8687992,-69.9986595",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-16,20:27:00
5659,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-07-06,08:48:00
5660,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-31,02:32:00
5661,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-23,00:33:00
5662,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-14,04:07:00
5663,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-08,09:03:00
5664,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-01,20:12:00
5665,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-19,12:56:00
5666,Jr. Los Incas Puno,"-15.836837,-70.024882",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-04,11:27:00
5667,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-04,12:56:00
5668,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-22,23:33:00
5669,Avenida Floral Puno,"-15.8268687,-70.0141471",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-01,02:41:00
5670,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-08,15:15:00
5671,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-21,05:22:00
5672,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-08,21:20:00
5673,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-05,04:38:00
5674,Parque del Periodista Puno,"-15.839012,-70.023311",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-18,08:01:00
5675,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-04,15:28:00
5676,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-10,21:56:00
5677,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-04,15:06:00
5678,Plaza Vea Puno,"-15.83636,-70.025604",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-11,07:26:00
5679,Jr. Tarapacá Puno,"-15.83755,-70.029158",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-23,22:25:00
5680,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-21,08:50:00
5681,Senati Puno,"-15.8699536,-69.9988485",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-11,21:07:00
5682,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-08,23:55:00
5683,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-19,19:10:00
5684,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-08,07:06:00
5685,Parque del Niño Puno,"-15.858797,-70.012071",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-13,20:21:00
5686,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-24,21:35:00
5687,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-09-30,11:44:00
5688,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-01,00:13:00
5689,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-23,05:35:00
5690,Ministerio de Cultura Puno,"-15.842631,-70.028915",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-03,05:34:00
5691,Parque del Niño Puno,"-15.858797,-70.012071",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-25,19:29:00
5692,Jr. Lima Puno,"-15.838756,-70.02816",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-07,20:23:00
5693,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-30,21:54:00
5694,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-27,07:20:00
5695,Parque Pino Puno,"-15.8378073,-70.0280672",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-25,20:06:00
5696,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-18,11:18:00
5697,Ministerio de Cultura Puno,"-15.842631,-70.028915",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-07,14:49:00
5698,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-01,09:21:00
5699,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-12,20:32:00
5700,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-04,07:24:00
5701,Avenida El Sol Puno,"-15.8458219,-70.0202123",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-09,05:31:00
5702,Jayllihuaya Puno,"-15.8787471,-69.9751057",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-07,04:39:00
